,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GOOGL,-0.015143322157713121,0.1088241275361159,0.08738837775249057,0.45934292922178943,-0.025953077126977857,0.42335703902960903,0.06226948656126319,0.2767563534584152,0.012783709641012997,0.2658851135122955
GS,0.028116279578931404,-0.5628937146487293,0.34773422657321074,0.33194885815604974,0.11899016008965298,-0.03764079651945408,0.35143943508015957,0.08495969586207001,-0.37869912983851234,0.33661034855297733
HD,0.2577046694193334,0.23711628852206532,0.42467654007912364,0.2943330927497625,0.280808543533263,0.2848823462009092,0.0609930442416735,0.3759874526397702,-0.042306484412490325,0.27873369304653917
HON,0.3345192278974701,0.08099542134566158,0.1798803062705025,0.3774578365923791,0.13306630658484758,0.07274347298375093,0.16407587735284976,0.3032492361648453,-0.06997749210802803,0.32855419950118897
IBM,0.13668967799012655,0.2613976709607094,0.05751972426231183,-0.009165265246971366,-0.10609913369570406,-0.10075508987918796,0.26514682419733204,-0.035858068297170066,-0.23052175335569822,0.21824519730810846
INTC,0.06882586206266177,0.22199509105148316,-0.11803726171460192,0.25305670221615495,0.3956267352363011,0.00529985516129757,0.1223607721945672,0.2745451971998539,0.08355228196904689,0.30015963022063197
JNJ,-0.0018856505122523584,0.09314730199799406,0.10343777490358023,0.2936547224931683,0.17591901210636604,0.02505537101323932,0.17280395138427432,0.21964220236528864,-0.024895575873755228,0.17333553068157842
JPM,0.04015867819666885,-0.16710682972318194,0.2989403092675496,0.3073636108706423,0.10781663868300573,0.09969717764136407,0.3556076638679771,0.2450820419129728,-0.053634779173912586,0.3858572256437817
KO,0.21590318187309204,0.14244434644748788,0.0837126561298583,0.13360197207009988,0.07804247668352078,0.06203719411459341,0.01948184835869226,0.13027763650534685,0.08414538323973818,0.20993171342639544
LLY,0.04529974409772731,0.24342800612360804,0.22743689165302033,0.08046924879903018,0.3538192591045336,0.24604349317831334,-0.05678917779362748,0.16098633708989968,0.3625166460508364,0.17762364146917287
LMT,-0.04187679285906356,0.2113960456214133,0.17588378568879862,0.5206953807913529,0.3294470190852492,0.1595933241841784,0.20034490348563797,0.26869543215822306,-0.1420476768780191,0.4233973478314803
LOW,0.1334874805320981,0.0707190966484109,0.3884634256705067,0.35542426614510436,0.3634291926653642,0.15182191411136622,-0.016263290947991154,0.3128798662662774,0.06756809870814856,0.31347869570430964
MA,-0.07488996146669652,0.5961381816710516,0.3230734174104226,0.5108198423531253,0.06716921586224554,0.15599490908918928,0.11421376901451225,0.3794985865264142,0.2620900695985214,0.4802016017681678
MCD,0.2437547309811505,0.3126277070278711,-0.07280907206935569,0.1125250399762024,0.02187743609307424,0.28748232575560534,0.07620958849462198,0.3978795739669898,0.07104603582453228,0.14999507669235945
MDLZ,0.19028088108940078,0.2110104771697233,0.06206206964902708,0.3207204028514964,0.07383309229092011,0.23554073998071823,0.06473243597716159,-0.013898033648506627,-0.016730712831722328,0.3535394244497722
MDT,-0.1185793618888589,0.08638213502929136,0.10604334174871458,0.34730638713648265,0.2663924208968199,0.10780854224294358,-0.02147777486766452,0.1677166716346818,0.14293934706481876,0.28802384647689305
MET,0.2761011174149021,-0.2697960272442324,0.0912322308521289,0.4777152311650708,0.06543698736534195,-0.05436370468594075,0.21839018895401974,0.08925865403157077,-0.1286327445861556,0.25746773497142644
MMM,0.08478266601003139,0.004581945209921175,0.14341552958504078,0.421907526252758,0.20807773651464664,-0.0421176367143306,0.23188995173829277,0.31040499481833694,-0.15760716631367253,-0.014011007102630297
MO,0.29389463061790405,0.26176150221302,0.15855517434345687,0.2259288963987621,0.3179301151736428,0.23070022397532994,0.21145833639626282,0.10366653276811072,-0.278626272448887,0.107396369141408
MRK,0.036801516616383,0.11605490685621259,0.11994672635115179,0.24025774344074166,0.1850558050696235,-0.02282481454230805,0.16758350936172497,-0.024346593552321903,0.3568936574180198,0.2278251067469146
MS,-0.06517486126380226,-0.43714864270539405,0.26307170478560266,0.5148306079449658,0.2566788361172978,-0.14687243208592787,0.3702629016771553,0.23865244663707189,-0.2157114006365572,0.2899633524842859
MSFT,-0.05860628603695076,-0.021213685230927655,0.04659520452967459,0.36276499491050507,0.26716726173016153,0.23625619242390408,0.1777025071311307,0.34563047338591724,0.22378077078508363,0.4771366691097688
NEE,0.03320955894704731,0.2091772288271883,0.20409742539515902,0.2380420218927834,0.27385179434060053,0.05320902035132283,0.2188823156006935,0.30851274913208027,0.15480691287609533,0.3874673488071141
NFLX,1.3435602657704075,-0.7021604476654786,0.4835395496779836,1.5711611462086583,0.029574164790297123,0.9511400305004556,0.21553890220388802,0.4472865658863827,0.3921207782371889,0.24851118428043426
NKE,0.35304275880923924,0.21770645658739182,0.15038363810624328,0.46274577075865103,0.2574617525872875,0.3194135402848959,-0.1507332237307464,0.2216700191416199,0.20859778993621927,0.3441057125160076
NVDA,-0.08933429995389901,0.031392860459859076,-0.07948257498726534,0.2739334652852446,0.28263422129200805,0.5656757727897808,1.302232093918721,0.7234811120805379,-0.274547854880281,0.6310423107293296
ORCL,0.2674946291429111,-0.1375547454321198,0.2893806837572701,0.13125791602254056,0.2043378746468676,-0.155912514898097,0.10183073229197076,0.23176916830845085,0.016350575218542242,0.19401697471455
OXY,0.2197145914153437,0.052790125137536476,-0.17443391724341553,0.24063353704728785,-0.05522905153303931,-0.10163473841694168,0.13144382767700366,0.08250460617491233,-0.11143205042213798,-0.2976875114949693
PEP,0.11254760750421594,0.0543310655504993,0.0670636177998731,0.2153163313050986,0.1770535565388151,0.09656001049443189,0.09530080384299987,0.16853728302047377,-0.016903218758257593,0.2615176872080324
PFE,-0.014738712697180884,0.2717277425688628,0.17952582694966893,0.21209744854094073,0.06958413694415035,0.08231119458215189,0.0705001605992254,0.13783280791158356,0.23516467909812253,-0.04410506278211161
PG,0.08999230280974778,0.0723738254432594,0.0576940978220559,0.20229755479343353,0.16036761767923988,-0.08470525443465769,0.11223747401235049,0.12387702603401865,0.06697125350425737,0.3536139070207602
PM,0.2343205635353471,0.35194577657332343,0.10547341756093305,0.05642010077428538,0.0017023665682241904,0.1480297709073585,0.11584686217185318,0.19392491706226822,-0.35297341160472884,0.32022992237264586
QCOM,0.11593252735365137,0.15311700350941507,0.1550276739805657,0.17075748694989104,0.05506872729345819,-0.313361067832251,0.336230378622083,0.054252899202111196,-0.05297911158964738,0.5398447483433467
RTX,0.13920874791834426,-0.01565364660983812,0.13885609116743838,0.3362977487662015,0.054673754480324355,-0.1366056837311825,0.1776942112499578,0.17261886946054164,-0.13809372561156916,0.3666958608327597
SBUX,0.3842392282094876,0.394488301215429,0.22497870258758712,0.3846520635633298,0.09193829787808173,0.4248250502927681,-0.013579981531947283,0.07014719868851957,0.1612080250584465,0.34830333018965604
SLB,0.2873724625654417,-0.11118447706923111,0.04007311660349797,0.2690375021319096,0.003860628724427475,-0.14086106156918152,0.24990826455950638,-0.18450840591457443,-0.5897247232797618,0.1877744541657172
SO,0.1981569764652283,0.24120868687685404,-0.0029251747870119196,-0.00972631960194977,0.24325799475101195,0.01985283185249165,0.10092071739456537,0.034347339869972265,-0.0021434601806778926,0.4293443168419257
SPG,0.3087987878132251,0.3181912671303327,0.24219695076888648,-0.0031839465197907543,0.2797958890678479,0.0987341877022931,-0.027709191385133464,0.002815308158577688,0.0412985016054191,-0.03569915591763435
T,0.10107050587918344,0.09270632895732261,0.1667490924420999,0.0658022349185533,0.022636611823056336,0.08361115642835688,0.27267853154836813,-0.03806843483913786,-0.2152856081045365,0.3554628754149578
TGT,0.24934069562562472,-0.12018613765563484,0.18150227788827925,0.109207838868852,0.23487875452583387,0.013245316744930733,0.040341340509934195,-0.02205959312093721,0.04926163586640275,0.7383991107002373
TMO,0.18550562187801248,-0.17664180972210933,0.34448306072450624,0.5604248826841136,0.15577350841912133,0.12796286917269273,0.04270083345155469,0.2962749766978666,0.17708032692068454,0.4188738606403016
TXN,0.27497524526842754,-0.05878725019964051,0.10129952895696608,0.3504654032364532,0.2621294720550422,0.08613171777667425,0.34218410462583404,0.38799613122925464,-0.03776150830623498,0.36832492992071214
UNH,0.17940650194236163,0.37055176458752365,0.08900448565955081,0.36297968752253185,0.3369144057977379,0.20221024353812042,0.35163841423155157,0.3367627659692818,0.15897729687810835,0.23575018325288657
UNP,0.3995648787935206,0.20825540074271492,0.19551339002923718,0.3019161829757479,0.395130360334287,-0.3611003021851113,0.32497622474235527,0.30686796373476233,0.07107368596994419,0.3224008742855531
UPS,0.2753949188566948,0.05586234522916249,0.03485998729074752,0.35570428367398427,0.10868427569988562,-0.08900351540768127,0.22685186863347276,0.07735685690949522,-0.17429457304394047,0.24859062351569408
USB,0.21286695161530397,0.08277730133789463,0.18815153673489698,0.23465811333697784,0.15109512323411944,-0.005374734238484998,0.25793243276302597,0.07215339829122547,-0.12257619522712512,0.2878477004458052
V,-0.16416686699536873,0.41988129635488547,0.41781973851019116,0.3888621673676431,0.199913021917915,0.1879224093371946,0.062256294655544546,0.37616086815712846,0.1801284528652088,0.3675223016560059
VZ,0.21270406521425858,0.1669735615981004,0.14404780742105758,0.16166297056413861,0.008217258290202556,0.043884142186107256,0.20765559190331906,0.030851864182194662,0.11597262790298052,0.14510557353793282
WBA,0.09884740426159587,-0.11542431352984206,0.16897816399749366,0.4578316036756114,0.36178306273701155,0.16736682167227862,0.036456262303645154,-0.09661277278433583,-0.03092954370558113,-0.07425401970163231
WFC,0.18902553115280415,-0.04425163045909202,0.23484903829164122,0.298729730547384,0.23334620772482845,0.04008441067521451,0.09959562005821876,0.12359005079544894,-0.2254974716525695,0.1944553600260196
WMT,0.026707254232104773,0.1312324888538959,0.16124274942914468,0.15900955339538508,0.11771900178795736,-0.28697145968229754,0.1637277573195468,0.4104861414632836,-0.004610927269317482,0.27086188308539905
XOM,0.09812797582621019,0.18302056412417927,0.042375421591784763,0.1662080964406535,-0.03436902744821706,-0.11529276483808094,0.20502476899146935,-0.03958689069056347,-0.15632010097578522,0.06434718437302185
